symbol,0,2,4,6,8,10,12,14,16,18,20,22
PHTF2,-0.980908116,0.264612477,0.419804714,0.640027455,0.205754202,2.900288789,-0.089533607,2.041889577,-0.022961249,0.279046223,-0.530037084,-0.074082735
CCL26,-0.619488337,-0.619488337,1.867748456,2.439355128,-0.048257393,-0.619488337,-0.619488337,-0.619488337,-0.619488337,-0.619488337,-0.619488337,-0.619488337
FARP2,-1.199715165,1.770728474,1.236461961,1.332593936,-1.042141912,-1.067084955,-0.127851786,-1.980071985,-0.486070635,0.078142618,-0.60185032,0.635493299
USH1C,0.052832104,1.231366506,0.643932944,0.753137465,-0.21981735,-2.284869676,-0.135170434,-2.977495272,-1.028409622,-0.433000386,-0.645932711,0.427055878
GGCT,0.159560008,-0.386315925,-0.181877462,-0.322648903,0.272204222,1.643484379,0.885203524,0.867577579,1.648985331,0.612066739,0.396392691,0.467741988
DBF4,-0.553462355,-0.228997603,-0.589510348,-0.284287008,0.237640013,2.920794977,0.774199568,1.010572155,0.625199586,0.1499476,0.414784356,0.801416763
IFRD1,0.147917881,-0.2029964,-0.322443275,0.209421398,0.03361677,1.581801025,-0.340530987,2.784435618,-0.838492892,-0.772821023,0.165308003,-0.519808945
LGALS14,-0.070869279,-1.053357456,0.633063798,1.752447188,2.070679384,-0.605318102,0.469780548,-1.184287824,-0.262355091,-0.655492956,-0.207774534,-0.487058413
COX10,-1.267039404,0.532602897,-0.12881487,0.831056707,0.494080352,2.109632055,0.382645101,-0.896293272,1.009255442,0.55538371,-0.940291851,-0.515795954
GTF2IRD1,-0.398050793,-1.4635188,-0.399661997,0.473848887,-0.336416454,-1.593595581,-0.930366518,-1.299429089,-1.296185473,0.864064954,-1.020812701,-0.215723673
PAF1,-0.52357437,-0.173656173,0.186362812,-0.335839423,-0.528998199,1.643522148,0.831858694,0.848691425,1.513392572,-0.443939454,-0.393423613,0.543263139
VPS41,0.592891063,1.04773147,-0.167963908,1.208243587,0.65065385,0.310729201,-0.231101228,0.205052098,0.084651677,0.291994701,1.011026279,0.005976005
ARHGAP44,-0.985660525,-0.633359799,0.411980709,0.613294371,-0.109322839,-2.851943309,0.808863061,-2.354713386,-0.306450509,0.152934304,-0.16256925,0.677359708
ELAC2,-0.931562352,-0.787752169,0.3084593,1.029982531,-0.414859581,2.862658347,0.911182074,1.910605194,1.137820084,0.111361194,-0.30722822,-0.112485371
SCIN,0.495659253,-0.102350303,0.642713686,0.701214713,0.561769618,-2.349104484,-0.240191963,-1.785181975,-1.460703278,-0.599208271,-0.663680354,-0.617207797
ARSD,-0.197941663,1.123776795,0.993714204,0.577725437,-0.898941776,-0.890227433,0.448373064,0.053809598,-3.507963291,0.695645328,-0.316018701,0.311422642
PNPLA4,-0.18634197,0.25318906,0.070204155,-0.547091698,-0.194702217,-2.425936738,0.746266666,-0.427151001,1.083240614,0.928443612,0.435246434,-1.345529329
ADIPOR2,0.585930018,1.184024523,1.535893765,0.98142475,0.791240129,-0.208009536,-0.887024226,-0.862205817,-1.990059546,-1.372085135,-0.990384359,-0.640328196
CDKL3,-0.917235529,-0.387307391,-0.144892839,-0.329194475,0.1303139,0.753674905,0.520381671,1.066296201,-0.200041818,-0.025329861,0.251261499,-0.573128039
UPP2,-0.502855588,-0.958857384,0.300831353,2.375560199,-0.958857384,-0.792026253,0.145627403,-0.610691575,0.077668997,0.808560421,-0.958857384,0.204854891
PRSS21,-0.5825328,-0.5825328,0.124454617,-0.5825328,-0.5825328,-0.5825328,-0.5825328,1.340675074,-0.5825328,-0.5825328,0.095875723,1.309979288
MARK4,-1.082203477,0.161264343,0.076907704,-0.65515875,-0.642404471,-1.290537607,-0.591812712,-0.212824743,-2.01863061,-0.476762227,-1.117812583,-0.390259466
PROM1,-0.660232333,0.223733101,-0.153073355,0.028645431,-0.263201675,-2.384955313,0.062857062,-2.876523702,-0.727761284,0.147677755,-0.380724316,0.392132041
CCDC124,-0.465906882,-0.616066731,-0.511941929,-0.24170939,-0.174347588,2.97535831,0.394713742,1.908568385,1.038636412,-0.049414895,-0.185726375,0.197813071
CEACAM21,4.226972201,-0.32236449,-0.32236449,-0.32236449,-0.32236449,-0.165932474,-0.32236449,0.893374792,1.492875284,-0.32236449,-0.32236449,-0.32236449
PAFAH1B1,-0.613041301,0.045741831,0.955769661,0.10410085,-0.218481547,2.762316127,0.426879524,1.631615066,-0.364529887,-0.44107571,-0.910352574,-0.501345153
NOS2,0.434699872,1.284954723,-0.996820187,2.034271815,-0.346061718,2.039415133,0.418225954,-0.726568997,0.52413869,-0.996820187,-0.996820187,-0.996820187
