symbol,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46
CYHR1,28.784451,25.59207,29.978498,28.900123,25.744663,42.7633088,25.830784,49.476327,23.8321639,24.746757,27.564368,25.205054
COL14A1,0.03896891,0.0208181,0.0870425,0.04401846,0.088648,0.0985653,0.0560032,0.0670766,0.00689105,0.1344913,0.0390252,0.07157635
DNER,0.0673813,0.0929694,0.0207012,0.00829517,0.0260504,0.0226602,0.0190321,0.0215585,0.0328285,0.0194923,0.0196472,0
CPSF4L,0.0852564,0,0.238997,0.395038,0.0929202,0.2155334,0.0281568,0.1503,0.1845323,0.115724,0,0
KLHL17,5.681815,3.457174,3.449898,3.69112,5.13957,6.512374,5.0324,7.84879,4.7603,4.609591,5.344925,5.561206
PLA2G2C,0.106305,0.0660022,0.0520827,0.0853759,0.0697745,0.030339,0.105312,0.0299344,0.0883509,0.0979634,0.0691084,0.123789
ANKRD19P,0.3671761,0.5903596,0.977934,0.5717315,0.4026825,0.720291,1.9857675,0.5252665,0.4009185,0.683315,1.3269601,0.7250516
ZSCAN23,1.0390228,2.707253,2.159307,2.136285,2.148934,1.034113,1.539132,0.844146,1.246669,1.465589,1.704782,2.690183
HIST1H2BG,4.6196,5.33495,4.27844,4.6672,5.17405,4.21693,7.60244,2.90208,7.87767,6.18021,5.46587,4.65839
RINL,0.611983,0.662058,0.974948,0.937028,0.801359,1.38697,0.839491,1.81364,0.771851,0.664004,0.766083,0.522822
C17orf99,0,0.0890959,0,0,0.0513525,0.0746896,0.0710031,0.0204344,0.0252468,0,0.0140097,0
OR7D2,0.355675,0.377886,0.261762,0.394244,0.186928,0.298664,0.194773,0.21446,0.170058,0.361653,0.334292,0.298939
TPRG1,0.9342236,0.3209653,0.0613427,0.7452835,0.8979997,0.2518031,0.2462833,0.39634385,0.2182,0.1617295,0.2660257,0.6906201
RP11-43F13.1,17.396409,21.700968,15.453399,18.21645413,7.462222,19.35176,7.7496309,9.398881,13.497478,23.8846,13.171488,10.38066
C1orf204,0.397363,0.27116,0.557048,0.298941,0.0949052,0.189215,0.110217,0.152368,0.140851,0.289084,0.242204,0.0692421
MORN2,12.362868,8.3869251,8.997584,8.404923,10.823443,39.269157,10.655304,45.907393,11.803173,10.5038022,9.51968,11.278977
MEIS3P2,1.08505,2.09454,1.55369,1.84293,1.48801,2.73452,1.61114,2.48245,1.07917,0.741856,1.37419,0.61723
S100A3,0.966796,0.211669,0.674912,0.931779,0.56815,0.1883342,0.979935,1.053557,0.556554,0.291312,0.473367,0.449092
UBQLN2,15.4543,17.0711,16.1068,16.569,14.5265,14.4493,17.1573,11.9911,14.4796,15.71,15.0784,17.6014
RILPL1,1.893331,1.3895009,1.4196142,2.098475,2.290976,3.4034206,1.0764371,2.649385,1.721284,1.225025,1.2111032,0.561165
C19orf67,0.4384844,0.161020611,0.676756,0.2144012,0.356351,0.0468744,0.494543,0.135541,0.0524762,0.180657,0.18279,1.09978
ZNF490,1.508259,1.467783,2.167012,2.018783,2.492052,1.763534,1.163991,2.704621,1.934692,2.14187,2.319019,2.663744
CLCN1,0.079333,0.106435,0.0853046,0.136748,0.10735,0.062259,0.0490189,0.0518319,0.152233,0.140579,0.080971,0.126876
NRN1L,1.8984,0.481354,0.895453,0.691962,1.27311,0.65497,0.509123,0.543925,0.633038,1.1992,0.896593,1.3342
NWD1,0.0665975,0.096087,0.116508,0.1887467,0.07081,0.0640008,0.084174467,0.0929256,0.03348999,0.1495354,0.1109102,0.1413225
ARL4C,18.629979,21.145696,23.41857,19.037436,17.097086,10.211039,13.147908,10.667676,12.32254,14.449404,13.863348,15.368792
TMEM221,0.138273,0.148969,0.464476,0.268979,0.124789,0,0.119716,0.142628,0.0647435,0.14031,0.318406,0
RAB42,0.398063,0.314004,0.7129,0.318421,0.4242231,0.256964,0.226698,0.287131,0.391749,0.484363,0.5016109,0.907259
WNT7B,0.1672307,0.559504,0.271986,0.239017,0.274223,0.304633,0.249982,0.2449784,0.268934,0.313483,0.153432002,0.1903509
C11orf95,4.95605,1.996323,1.69498,2.2530814,1.2930876,2.47834,1.44491,2.52569,1.795693,1.37764,1.38258,1.5799
PMS2P10,0.069419,0,0,0,0,0,0,0.154397,0,0,0,0
PLA2G4E,0.0694376,0.03312952,0.0820832,0,0.0460199,0.0895664,0.0450468,0.033977,0.0442446,0.130955,0.0387789,0.0977664
GPR89B,4.5694976,4.8934544,5.885715,5.73875741,5.4115525,5.1038906,5.93053,5.429961,6.90273018,5.574119,5.05935019,6.387345001
MESP2,0.245675,0.328293,0.12001,0.323865,0.871856,1.679684,0.603641,0.725107,0.3934238,0.841095,0.473596,0.430982
FAM25A,1.72211,2.73325,2.11482,2.99079,0.852017,1.15557,1.66723,1.42697,0.886368,1.22503,1.64405,1.18497
EYS,0.5849146,0.2738716,1.0897761,0.5886448,0.5442502,0.6874302,0.78283912,0.76289893,0.6560659,0.7267713,0.6473498,0.2444302
C6orf132,54.2587,65.8733,66.3439,61.1076,59.3714,42.4739,63.6234,38.8742,60.4014,57.7368,59.4521,59.9849
OR2AG2,0,0,0,0,0.0321983,0,0,0,0.03117,0.0363582,0,0
MYO15B,23.8472,19.7551,22.5172,23.6652,19.2218,12.4703,19.8613,12.5729,15.1823,19.5939,18.5373,17.0212
MAPK12,1.14130046,0.337623,0.5162159,0.4738169,0.30221834,6.2418997,0.609004273,3.501746,0.7102078,0.536966,0.8481235,0.26975
NUTMG,0.656439,0.682248,1.165032,0.920395,0.581972,0.905372,0.686202,0.746338,1.086026,1.140736,0.785596,1.019353
COL4A5,0,0.014938046,0,0,0,2.80475,0,4.5556903,0,0,0,0
AGRN,182.694764,169.270879,197.1369037,177.079371,147.4281163,94.461911,148.947048,100.126604,122.943322,170.4452026,159.667518,145.501306
